Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Tkl_Def_3rd,Tkl_Mid_3rd,Tkl_Att_3rd,Tkl_vs_Drib,Att_vs_Drib,Tkl%_vs_Drib,Past_vs_Drib,Press,Press_Succ,Press_Succ_%,Press_Def_3rd,Press_Mid_3rd,Press_Att_3rd,Blocks,Shot_Blocks,SoT_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
Omar Marmoush\Omar-Marmoush,eg EGY,FW,Wolfsburg,de Bundesliga,21,1999,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Marquinhos\Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,26,1994,23.6,25,18,13,9,3,9,27,33.3,18,198,64,32.3,77,90,31,31,11,0,20,32,57,92,2
Luca Marrone\Luca-Marrone,it ITA,DF,Crotone,it Serie A,30,1990,17.6,28,19,18,10,0,12,22,54.5,10,192,63,32.8,117,69,6,30,9,0,21,14,42,72,1
Roger Martí\Roger-Marti,es ESP,FW,Levante,es La Liga,29,1991,24.4,20,13,4,10,6,5,22,22.7,17,440,81,18.4,40,199,201,19,4,0,15,5,25,6,0
Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,eng Premier League,24,1995,16.4,1,1,0,0,1,0,7,0.0,7,148,42,28.4,13,39,96,22,5,0,17,4,5,9,0
Aarón Martín\Aaron-Martin,es ESP,DF,Mainz 05,de Bundesliga,23,1997,2.9,2,2,2,0,0,1,4,25.0,3,26,9,34.6,6,17,3,2,0,0,2,3,5,1,0
Aarón Martín\Aaron-Martin,es ESP,DF,Celta Vigo,es La Liga,23,1997,17.1,35,12,18,15,2,13,36,36.1,23,199,50,25.1,84,93,22,26,4,0,22,17,52,50,0
Álex Martín\Alex-Martin,es ESP,DF,Cádiz,es La Liga,22,1998,1.1,1,0,0,1,0,1,3,33.3,2,13,2,15.4,8,5,0,1,1,0,0,2,3,6,0
Jonas Martin\Jonas-Martin,fr FRA,MF,Rennes,fr Ligue 1,30,1990,5.4,15,11,5,8,2,4,13,30.8,9,80,28,35.0,24,43,13,12,2,0,10,9,24,7,0
Martinelli\Martinelli,br BRA,FW,Arsenal,eng Premier League,19,2001,6.5,6,1,2,3,1,4,12,33.3,8,136,29,21.3,18,46,72,10,1,0,9,8,14,6,0
Lucas Martínez Quarta\Lucas-Martinez-Quarta,ar ARG,DF,Fiorentina,it Serie A,24,1996,16.5,44,31,28,13,3,20,48,41.7,28,260,85,32.7,139,96,25,24,9,0,15,36,80,63,1
Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Aston Villa,eng Premier League,27,1992,38.0,0,0,0,0,0,0,1,0.0,1,6,1,16.7,6,0,0,0,0,0,0,0,0,0,1
Iñigo Martínez\Inigo-Martinez,es ESP,DF,Athletic Club,es La Liga,29,1991,28.0,29,14,20,9,0,12,31,38.7,19,200,67,33.5,122,76,2,28,8,1,20,37,66,151,0
Javi Martínez\Javi-Martinez,es ESP,MFFW,Osasuna,es La Liga,20,1999,5.1,12,9,4,7,1,5,15,33.3,10,123,31,25.2,23,62,38,13,1,0,12,4,16,4,0
Javi Martínez\Javi-Martinez,es ESP,DFMF,Bayern Munich,de Bundesliga,31,1988,5.2,9,5,4,3,2,4,5,80.0,1,60,24,40.0,20,28,12,13,4,0,9,11,20,27,0
Josep Martinez\Josep-Martinez,es ESP,GK,RB Leipzig,de Bundesliga,22,1998,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Lautaro Martínez\Lautaro-Martinez,ar ARG,FW,Inter,it Serie A,22,1997,28.5,24,18,5,9,10,6,20,30.0,14,507,133,26.2,61,206,240,42,7,0,35,28,52,15,0
Pablo Martinez\Pablo-Martinez,fr FRA,DF,Nîmes,fr Ligue 1,31,1989,6.0,13,8,8,5,0,7,9,77.8,2,36,14,38.9,19,15,2,11,3,0,8,7,20,35,1
Gelson Martins\Gelson-Martins,pt POR,MFFW,Monaco,fr Ligue 1,25,1995,17.2,39,22,10,12,17,12,42,28.6,30,311,98,31.5,53,146,112,25,0,0,25,12,51,6,0
Adam Marušić\Adam-Marusic,me MNE,DF,Lazio,it Serie A,27,1992,33.0,50,28,29,18,3,19,41,46.3,22,305,91,29.8,137,115,53,56,6,0,50,48,98,66,1
Sylvain Marveaux\Sylvain-Marveaux,fr FRA,MFFW,Lorient,fr Ligue 1,34,1986,2.2,7,4,3,4,0,1,3,33.3,2,34,15,44.1,8,20,6,1,0,0,1,1,8,1,0
Marvin\Marvin,es ESP,DFFW,Real Madrid,es La Liga,20,2000,1.5,4,1,1,2,1,0,0,,0,24,11,45.8,7,13,4,2,0,0,2,1,5,6,0
Omar Mascarell\Omar-Mascarell,es ESP,MF,Schalke 04,de Bundesliga,27,1993,19.6,42,21,15,20,7,14,51,27.5,37,330,111,33.6,125,170,35,47,13,0,34,36,78,40,1
Andrea Masiello\Andrea-Masiello,it ITA,DF,Genoa,it Serie A,34,1986,28.5,43,22,29,9,5,23,48,47.9,25,305,84,27.5,189,98,18,42,16,0,26,41,84,158,0
Jordi Masip\Jordi-Masip,es ESP,GK,Valladolid,es La Liga,31,1989,25.0,0,0,0,0,0,0,3,0.0,3,6,0,0.0,6,0,0,2,0,0,2,0,0,2,1
Roberto Massimo\Roberto-Massimo,de GER,DFFW,Stuttgart,de Bundesliga,19,2000,8.4,21,14,13,7,1,10,24,41.7,14,160,49,30.6,64,58,38,15,2,0,13,12,33,11,0
Giuseppe Mastinu\Giuseppe-Mastinu,it ITA,FW,Spezia,it Serie A,28,1991,0.4,1,1,0,1,0,0,0,,0,8,4,50.0,0,6,2,1,0,0,1,1,2,0,0
Arthur Masuaku\Arthur-Masuaku,cd COD,DFFW,West Ham,eng Premier League,26,1993,11.2,20,13,15,4,1,11,34,32.4,23,136,42,30.9,79,40,17,35,0,0,35,6,26,16,0
Jaime Mata\Jaime-Mata,es ESP,FW,Getafe,es La Liga,31,1988,22.6,14,10,1,7,6,2,9,22.2,7,309,70,22.7,20,127,162,16,3,0,13,11,25,13,0
Juan Mata\Juan-Mata,es ESP,FWMF,Manchester Utd,eng Premier League,32,1988,5.7,2,2,1,1,0,0,5,0.0,5,65,14,21.5,16,24,25,2,0,0,2,2,4,3,0
Pape Matar Sarr\Pape-Matar-Sarr,sn SEN,MF,Metz,fr Ligue 1,17,2002,17.7,50,27,24,21,5,23,50,46.0,27,356,117,32.9,108,204,44,24,5,0,19,40,90,30,0
Eliot Matazo\Eliot-Matazo,be BEL,MF,Monaco,fr Ligue 1,18,2002,3.5,11,8,6,4,1,4,8,50.0,4,83,21,25.3,22,47,14,3,0,0,3,2,13,1,0
Jean-Philippe Mateta\Jean-Philippe-Mateta,fr FRA,FW,Crystal Palace,eng Premier League,23,1997,2.5,1,1,0,1,0,1,3,33.3,2,31,4,12.9,2,18,11,2,1,0,1,1,2,2,0
Jean-Philippe Mateta\Jean-Philippe-Mateta,fr FRA,FW,Mainz 05,de Bundesliga,23,1997,11.1,5,5,2,1,2,0,3,0.0,3,107,32,29.9,8,50,49,7,1,0,6,1,6,7,0
Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,eng Premier League,31,1988,12.3,24,15,13,10,1,10,31,32.3,21,175,56,32.0,79,81,15,30,5,0,25,18,42,21,1
Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,eng Premier League,28,1991,7.7,15,11,11,4,0,5,8,62.5,3,58,24,41.4,35,20,3,7,0,0,7,4,19,28,0
Rabbi Matondo\Rabbi-Matondo,wal WAL,FWMF,Schalke 04,de Bundesliga,19,2000,2.4,4,3,2,2,0,2,4,50.0,2,63,17,27.0,18,24,21,5,1,0,4,2,6,0,0
Ryder Matos\Ryder-Matos,br BRA,MF,Udinese,it Serie A,27,1993,0.1,0,0,0,0,0,0,0,,0,2,0,0.0,0,1,1,0,0,0,0,0,0,0,0
Henning Matriciani\Henning-Matriciani,de GER,DF,Schalke 04,de Bundesliga,20,2000,0.3,3,2,2,1,0,1,2,50.0,1,4,2,50.0,3,1,0,2,0,0,2,0,3,0,0
Chrislain Matsima\Chrislain-Matsima,fr FRA,DF,Monaco,fr Ligue 1,18,2002,3.9,8,4,6,2,0,3,6,50.0,3,36,10,27.8,13,23,0,6,0,0,6,1,9,14,0
Federico Mattiello\Federico-Mattiello,it ITA,DF,Spezia,it Serie A,25,1995,0.4,0,0,0,0,0,0,0,,0,2,1,50.0,1,0,1,1,0,0,1,1,1,0,0
Neal Maupay\Neal-Maupay,fr FRA,FWMF,Brighton,eng Premier League,23,1996,27.9,24,18,6,12,6,4,18,22.2,14,475,146,30.7,74,187,214,18,2,0,16,12,36,9,0
Tony Mauricio\Tony-Mauricio,fr FRA,MF,Lens,fr Ligue 1,26,1994,5.6,18,12,7,8,3,4,12,33.3,8,105,35,33.3,27,57,21,7,1,0,6,2,20,2,0
Stephy Mavididi\Stephy-Mavididi,eng ENG,FWMF,Montpellier,fr Ligue 1,22,1998,22.6,13,6,6,6,1,5,26,19.2,21,313,72,23.0,80,139,94,22,0,0,22,20,33,5,0
Konstantinos Mavropanos\Konstantinos-Mavropanos,gr GRE,DF,Stuttgart,de Bundesliga,22,1997,16.3,42,22,32,7,3,20,50,40.0,30,130,36,27.7,80,43,7,40,13,0,27,41,83,96,0
Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting,cm CMR,FWMF,Bayern Munich,de Bundesliga,31,1989,9.1,9,6,1,6,2,2,6,33.3,4,128,38,29.7,7,64,57,3,0,0,3,3,12,7,0
Borja Mayoral\Borja-Mayoral,es ESP,FW,Real Madrid,es La Liga,23,1997,0.3,0,0,0,0,0,0,1,0.0,1,9,1,11.1,1,4,4,0,0,0,0,0,0,0,0
Borja Mayoral\Borja-Mayoral,es ESP,FW,Roma,it Serie A,23,1997,17.2,6,5,0,2,4,1,12,8.3,11,272,74,27.2,7,124,141,6,0,0,6,3,9,3,1
Youssef Maziz\Youssef-Maziz,fr FRA,MFFW,Metz,fr Ligue 1,22,1998,2.9,1,1,1,0,0,0,7,0.0,7,45,9,20.0,11,20,14,2,0,0,2,3,4,2,0
Antonio Mazzotta\Antonio-Mazzotta,it ITA,DF,Crotone,it Serie A,30,1989,0.6,1,0,0,1,0,0,0,,0,8,1,12.5,2,5,1,0,0,0,0,0,1,1,0
Kevin Mbabu\Kevin-Mbabu,ch SUI,DF,Wolfsburg,de Bundesliga,25,1995,18.2,53,31,28,20,5,19,38,50.0,19,298,107,35.9,121,115,62,51,8,0,43,23,76,86,0
Kylian Mbappé\Kylian-Mbappe,fr FRA,FW,Paris S-G,fr Ligue 1,21,1998,26.4,9,5,3,1,5,2,11,18.2,9,183,57,31.1,7,52,124,12,1,0,11,7,16,7,1
Ibrahima Mbaye\Ibrahima-Mbaye,sn SEN,DF,Bologna,it Serie A,25,1994,4.8,6,3,5,1,0,0,2,0.0,2,37,12,32.4,16,14,7,6,3,0,3,2,8,11,0
Jean-Manuel Mbom\Jean-Manuel-Mbom,de GER,MFDF,Werder Bremen,de Bundesliga,20,2000,12.9,25,15,16,7,2,12,35,34.3,23,276,79,28.6,105,123,48,27,6,0,21,14,39,29,0
Nathanael Mbuku\Nathanael-Mbuku,fr FRA,MFFW,Reims,fr Ligue 1,18,2002,24.6,33,22,10,14,9,9,24,37.5,15,414,99,23.9,94,178,142,34,3,0,31,16,49,9,0
James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,eng Premier League,32,1987,16.3,56,26,29,22,5,18,45,40.0,27,378,102,27.0,159,182,37,39,4,0,35,23,79,25,0
Oliver McBurnie\Oliver-McBurnie,sco SCO,FW,Sheffield Utd,eng Premier League,24,1996,14.7,13,7,6,5,2,5,19,26.3,14,296,62,20.9,24,162,110,17,4,0,13,8,21,25,0
Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,eng Premier League,30,1989,30.0,0,0,0,0,0,0,3,0.0,3,4,1,25.0,4,0,0,0,0,0,0,0,0,1,2
James McCarthy\James-McCarthy,ie IRL,MF,Crystal Palace,eng Premier League,29,1990,9.1,18,8,12,6,0,10,25,40.0,15,181,42,23.2,86,82,13,20,8,0,12,8,26,12,0
John McGinn\John-McGinn,sco SCO,MF,Aston Villa,eng Premier League,25,1994,37.0,74,46,24,38,12,22,76,28.9,54,649,168,25.9,206,330,113,39,5,0,34,45,119,30,2
David McGoldrick\David-McGoldrick,ie IRL,FWMF,Sheffield Utd,eng Premier League,32,1987,26.6,30,16,6,16,8,9,34,26.5,25,434,105,24.2,70,191,173,36,4,0,32,12,42,29,0
Weston McKennie\Weston-McKennie,us USA,MF,Juventus,it Serie A,21,1998,18.9,45,28,14,25,6,14,37,37.8,23,413,105,25.4,100,209,104,26,6,0,20,23,68,25,0
Dwight McNeil\Dwight-McNeil,eng ENG,MF,Burnley,eng Premier League,20,1999,34.1,43,22,17,21,5,11,52,21.2,41,585,138,23.6,156,286,143,58,6,0,52,38,81,27,1
Scott McTominay\Scott-McTominay,sco SCO,MF,Manchester Utd,eng Premier League,23,1996,23.7,48,29,26,16,6,16,40,40.0,24,348,107,30.7,124,171,53,56,15,0,41,51,99,54,0
Gary Medel\Gary-Medel,cl CHI,DFMF,Bologna,it Serie A,32,1987,5.7,13,7,10,2,1,4,13,30.8,9,70,21,30.0,35,30,5,12,6,0,6,9,22,12,0
Facundo Medina\Facundo-Medina,ar ARG,DF,Lens,fr Ligue 1,21,1999,22.3,46,33,29,16,1,21,38,55.3,17,240,78,32.5,122,110,8,53,15,0,38,37,83,84,0
Nathan de Medina\Nathan-de-Medina,be BEL,DF,Arminia,de Bundesliga,22,1997,7.1,24,17,13,8,3,7,11,63.6,4,145,51,35.2,81,50,14,21,1,0,20,8,32,27,0
Ben Mee\Ben-Mee,eng ENG,DF,Burnley,eng Premier League,30,1989,29.9,38,24,19,17,2,8,23,34.8,15,162,50,30.9,95,56,11,61,43,1,18,35,73,241,1
Joshua Mees\Joshua-Mees,de GER,FW,Union Berlin,de Bundesliga,24,1996,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Admir Mehmedi\Admir-Mehmedi,ch SUI,MFFW,Wolfsburg,de Bundesliga,29,1991,9.1,18,12,5,6,7,6,18,33.3,12,211,79,37.4,39,106,66,10,2,0,8,6,24,3,0
Soualiho Meïté\Soualiho-Meite,fr FRA,MF,Torino,it Serie A,26,1994,10.2,10,6,6,3,1,3,21,14.3,18,150,38,25.3,60,60,30,24,0,0,24,10,20,10,1
Soualiho Meïté\Soualiho-Meite,fr FRA,MF,Milan,it Serie A,26,1994,6.5,16,12,9,5,2,8,17,47.1,9,133,48,36.1,43,71,19,15,2,0,13,8,24,18,0
Hannibal Mejbri\Hannibal-Mejbri,tn TUN,MF,Manchester Utd,eng Premier League,17,2003,0.1,0,0,0,0,0,0,0,,0,6,1,16.7,1,5,0,0,0,0,0,0,0,0,0
Farid El Melali\Farid-El-Melali,dz ALG,FWMF,Angers,fr Ligue 1,23,1997,4.6,9,4,5,3,1,2,11,18.2,9,87,25,28.7,23,37,27,13,0,0,13,7,16,2,1
Filippo Melegoni\Filippo-Melegoni,it ITA,MFDF,Genoa,it Serie A,21,1999,4.3,7,3,2,5,0,3,5,60.0,2,102,21,20.6,35,48,19,5,0,0,5,9,16,6,0
Gonzalo Melero\Gonzalo-Melero,es ESP,MFFW,Levante,es La Liga,26,1994,20.6,22,19,10,8,4,7,37,18.9,30,326,83,25.5,99,148,79,25,5,0,20,21,43,36,1
Birger Meling\Birger-Meling,no NOR,DF,Nîmes,fr Ligue 1,25,1994,25.9,61,29,37,17,7,29,53,54.7,24,368,110,29.9,181,129,58,81,9,0,72,39,100,70,1
Arthur Melo\Arthur-Melo,br BRA,MF,Juventus,it Serie A,23,1996,12.9,22,15,10,12,0,5,25,20.0,20,208,62,29.8,77,105,26,12,2,1,10,16,38,9,2
Houboulang Mendes\Houboulang-Mendes,fr FRA,DF,Lorient,fr Ligue 1,22,1998,14.4,37,14,22,11,4,15,31,48.4,16,205,56,27.3,93,82,30,30,3,0,27,7,44,38,0
Pedro Mendes\Pedro-Mendes,pt POR,DF,Montpellier,fr Ligue 1,29,1990,18.1,35,24,26,8,1,13,22,59.1,9,183,62,33.9,112,67,4,33,13,0,20,26,61,63,1
Thiago Mendes\Thiago-Mendes,br BRA,MF,Lyon,fr Ligue 1,28,1992,24.9,57,38,18,33,6,16,42,38.1,26,373,141,37.8,121,201,51,39,7,0,32,40,97,33,0
Brais Méndez\Brais-Mendez,es ESP,MFFW,Celta Vigo,es La Liga,23,1997,29.7,63,45,24,30,9,19,75,25.3,56,649,178,27.4,165,328,156,40,3,0,37,37,100,30,0
Édgar Méndez\Edgar-Mendez,es ESP,MFFW,Alavés,es La Liga,30,1990,23.2,45,21,23,13,9,14,47,29.8,33,432,99,22.9,117,185,130,28,4,0,24,16,61,20,0
Eñaut Mendía\Enaut-Mendia,es ESP,FW,Eibar,es La Liga,21,1999,0.7,2,1,1,1,0,2,2,100.0,0,10,2,20.0,3,5,2,1,1,0,0,0,2,0,0
Batista Mendy\Batista-Mendy,fr FRA,MF,Nantes,fr Ligue 1,20,2000,0.8,2,1,0,2,0,0,1,0.0,1,14,3,21.4,5,7,2,3,1,0,2,1,3,2,0
Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,eng Premier League,26,1994,10.6,15,10,3,7,5,5,18,27.8,13,125,42,33.6,32,52,41,24,5,0,19,6,21,11,1
Edouard Mendy\Edouard-Mendy,sn SEN,GK,Rennes,fr Ligue 1,28,1992,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Edouard Mendy\Edouard-Mendy,sn SEN,GK,Chelsea,eng Premier League,28,1992,30.5,0,0,0,0,0,0,1,0.0,1,3,0,0.0,3,0,0,0,0,0,0,0,0,0,1
Ferland Mendy\Ferland-Mendy,fr FRA,DF,Real Madrid,es La Liga,25,1995,24.5,31,17,20,6,5,13,24,54.2,11,193,68,35.2,86,62,45,41,5,0,36,25,56,31,0
Nampalys Mendy\Nampalys-Mendy,sn SEN,MF,Leicester City,eng Premier League,28,1992,16.2,35,22,19,14,2,7,17,41.2,10,267,84,31.5,106,123,38,24,2,0,22,9,44,11,0
Hamza Mendyl\Hamza-Mendyl,ma MAR,FW,Schalke 04,de Bundesliga,22,1997,1.1,4,1,3,0,1,2,4,50.0,2,33,7,21.2,9,16,8,1,0,0,1,1,5,1,0
Levent Mercan\Levent-Mercan,de GER,FW,Schalke 04,de Bundesliga,19,2000,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0
Jorge Meré\Jorge-Mere,es ESP,DF,Köln,de Bundesliga,23,1997,14.4,21,14,15,4,2,3,10,30.0,7,119,43,36.1,71,34,14,17,12,0,5,23,44,83,0
Alex Meret\Alex-Meret,it ITA,GK,Napoli,it Serie A,23,1997,22.0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1
Mikel Merino\Mikel-Merino,es ESP,MF,Real Sociedad,es La Liga,24,1996,23.9,58,36,16,31,11,14,52,26.9,38,454,151,33.3,108,243,103,48,9,0,39,32,90,30,0
Martín Merquelanz\Martin-Merquelanz,es ESP,FWMF,Real Sociedad,es La Liga,25,1995,6.1,5,2,2,1,2,2,7,28.6,5,54,11,20.4,17,20,17,8,1,0,7,8,13,8,0
Yıldırım Mert Çetin\Yildirim-Mert-Cetin,tr TUR,DF,Hellas Verona,it Serie A,23,1997,4.6,7,4,3,3,1,1,4,25.0,3,50,14,28.0,37,12,1,12,8,0,4,13,20,13,2
Dries Mertens\Dries-Mertens,be BEL,FWMF,Napoli,it Serie A,33,1987,16.2,18,15,5,8,5,5,23,21.7,18,342,87,25.4,24,128,190,9,2,0,7,9,27,5,0
Roque Mesa\Roque-Mesa,es ESP,MF,Valladolid,es La Liga,31,1989,19.6,44,34,21,16,7,13,41,31.7,28,387,111,28.7,136,198,53,24,3,0,21,13,57,28,0
Illan Meslier\Illan-Meslier,fr FRA,GK,Leeds United,eng Premier League,20,2000,35.0,0,0,0,0,0,0,1,0.0,1,7,2,28.6,7,0,0,0,0,0,0,0,0,1,3
Lionel Messi\Lionel-Messi,ar ARG,FWMF,Barcelona,es La Liga,33,1987,33.6,22,16,3,14,5,7,20,35.0,13,292,98,33.6,10,123,159,12,1,0,11,7,29,0,0
Junior Messias\Junior-Messias,br BRA,MFFW,Crotone,it Serie A,29,1991,35.7,63,42,28,23,12,16,54,29.6,38,603,162,26.9,161,265,177,44,11,0,33,38,101,41,0
Thomas Meunier\Thomas-Meunier,be BEL,DF,Dortmund,de Bundesliga,28,1991,16.4,37,26,22,8,7,17,30,56.7,13,171,63,36.8,76,60,35,26,8,0,18,16,53,36,2
Mexer\Mexer,mz MOZ,DF,Bordeaux,fr Ligue 1,31,1988,7.9,7,3,6,0,1,3,11,27.3,8,52,20,38.5,37,13,2,8,4,0,4,20,27,48,0
Max Meyer\Max-Meyer,de GER,MF,Köln,de Bundesliga,24,1995,3.9,6,5,2,4,0,4,11,36.4,7,58,22,37.9,13,32,13,6,0,0,6,3,9,3,0
Omenuke Mfulu\Omenuke-Mfulu,cd COD,MF,Elche,es La Liga,26,1994,8.8,23,15,12,11,0,7,19,36.8,12,170,51,30.0,84,76,10,7,1,0,6,10,33,19,0
Míchel\Michel,es ESP,MF,Valladolid,es La Liga,32,1988,10.5,20,13,12,6,2,5,21,23.8,16,213,52,24.4,81,99,33,17,1,0,16,13,33,8,1
Jonas Michel Dirkner\Jonas-Michel-Dirkner,de GER,MF,Hertha BSC,de Bundesliga,18,2002,0.2,1,1,1,0,0,0,0,,0,7,5,71.4,4,3,0,0,0,0,0,0,1,0,0
Jonas Michelbrink\Jonas-Michelbrink,de GER,MF,Hertha BSC,de Bundesliga,19,2001,0.4,0,0,0,0,0,0,0,,0,16,8,50.0,9,3,4,1,0,0,1,0,0,0,0
Clément Michelin\Clement-Michelin,fr FRA,DF,Lens,fr Ligue 1,23,1997,12.8,32,16,14,14,4,12,18,66.7,6,127,28,22.0,49,50,28,26,4,0,22,14,46,30,0
Edouard Michut\Edouard-Michut,fr FRA,MF,Paris S-G,fr Ligue 1,17,2003,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Petar Mićin\Petar-Micin,rs SRB,MF,Udinese,it Serie A,21,1998,0.2,0,0,0,0,0,0,0,,0,9,1,11.1,1,3,5,0,0,0,0,0,0,0,0
Florian Miguel\Florian-Miguel,fr FRA,DF,Nîmes,fr Ligue 1,23,1996,17.1,27,14,15,9,3,11,21,52.4,10,138,47,34.1,80,44,14,29,14,0,15,35,62,95,1
Valentin Mihaila\Valentin-Mihaila,ro ROU,FWMF,Parma,it Serie A,20,2000,7.8,5,3,1,3,1,1,15,6.7,14,110,23,20.9,26,37,47,11,2,0,9,4,9,6,0
Nikola Milenković\Nikola-Milenkovic,rs SRB,DF,Fiorentina,it Serie A,22,1997,33.7,64,40,47,15,2,27,38,71.1,11,349,106,30.4,184,139,26,57,37,0,20,30,94,153,0
Arkadiusz Milik\Arkadiusz-Milik,pl POL,FW,Marseille,fr Ligue 1,26,1994,13.6,15,9,0,8,7,4,18,22.2,14,170,47,27.6,10,75,85,6,1,0,5,7,22,10,0
Sergej Milinković-Savić\Sergej-Milinkovic-Savic,rs SRB,MF,Lazio,it Serie A,25,1995,30.5,74,46,25,33,16,30,91,33.0,61,527,149,28.3,157,247,123,57,13,1,44,37,111,52,0
Vanja Milinković-Savić\Vanja-Milinkovic-Savic,rs SRB,GK,Torino,it Serie A,23,1997,5.0,1,1,1,0,0,1,1,100.0,0,2,1,50.0,2,0,0,0,0,0,0,0,1,1,1
Éder Militão\Eder-Militao,br BRA,DF,Real Madrid,es La Liga,22,1998,12.6,22,13,16,6,0,8,19,42.1,11,113,41,36.3,63,40,10,21,6,0,15,21,43,72,0
Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,eng Premier League,29,1991,26.2,67,44,28,33,6,32,81,39.5,49,463,135,29.2,198,220,45,47,6,0,41,44,111,50,0
Luis Milla\Luis-Milla,es ESP,MF,Granada,es La Liga,25,1994,13.9,20,16,13,5,2,3,26,11.5,23,279,91,32.6,82,155,42,19,1,0,18,21,41,13,0
Pere Milla\Pere-Milla,es ESP,FWMF,Elche,es La Liga,27,1992,22.0,28,21,9,17,2,11,42,26.2,31,464,120,25.9,91,269,104,23,4,0,19,18,46,15,0
Alejandro Millán\Alejandro-Millan,es ESP,FW,Villarreal,es La Liga,20,1999,0.0,0,0,0,0,0,0,1,0.0,1,3,1,33.3,0,0,3,0,0,0,0,0,0,0,0
Vincenzo Millico\Vincenzo-Millico,it ITA,FWMF,Torino,it Serie A,19,2000,0.2,0,0,0,0,0,0,0,,0,7,1,14.3,3,4,0,0,0,0,0,0,0,0,0
Enzo Millot\Enzo-Millot,fr FRA,MF,Monaco,fr Ligue 1,18,2002,0.5,1,0,0,1,0,0,0,,0,8,3,37.5,2,3,3,1,0,0,1,1,2,0,0
James Milner\James-Milner,eng ENG,MFDF,Liverpool,eng Premier League,34,1986,11.9,26,14,8,16,2,10,36,27.8,26,209,69,33.0,52,121,36,39,4,0,35,16,42,21,1
Santi Mina\Santi-Mina,es ESP,FW,Celta Vigo,es La Liga,24,1995,26.8,34,19,8,15,11,9,29,31.0,20,519,112,21.6,55,279,185,18,4,0,14,10,44,21,0
Yerry Mina\Yerry-Mina,co COL,DF,Everton,eng Premier League,25,1994,21.5,25,12,19,6,0,7,10,70.0,3,148,43,29.1,101,45,2,38,26,0,12,13,38,130,1
Takumi Minamino\Takumi-Minamino,jp JPN,MFFW,Southampton,eng Premier League,25,1995,7.9,5,2,2,3,0,1,16,6.3,15,146,45,30.8,35,81,30,10,1,0,9,8,13,11,0
Takumi Minamino\Takumi-Minamino,jp JPN,MFFW,Liverpool,eng Premier League,25,1995,3.3,4,3,1,2,1,0,12,0.0,12,82,25,30.5,19,41,22,0,0,0,0,0,4,3,0
Tyrone Mings\Tyrone-Mings,eng ENG,DF,Aston Villa,eng Premier League,27,1993,35.5,33,18,24,7,2,14,26,53.8,12,252,71,28.2,146,87,19,84,47,1,37,38,71,230,5
Óscar Mingueza\Oscar-Mingueza,es ESP,DF,Barcelona,es La Liga,21,1999,21.1,60,42,30,23,7,28,51,54.9,23,318,114,35.8,137,141,40,37,8,0,29,25,85,43,5
Rafa Mir\Rafa-Mir,es ESP,FW,Huesca,es La Liga,23,1997,32.0,15,9,4,3,8,4,14,28.6,10,432,99,22.9,37,182,213,26,4,0,22,10,25,23,0
Jorge Miramón\Jorge-Miramon,es ESP,DF,Levante,es La Liga,31,1989,19.2,41,24,31,10,0,20,38,52.6,18,208,75,36.1,109,69,30,48,4,0,44,34,75,66,1
Aleksei Miranchuk\Aleksei-Miranchuk,ru RUS,FWMF,Atalanta,it Serie A,24,1995,7.5,21,10,7,8,6,5,8,62.5,3,118,45,38.1,18,50,50,1,0,0,1,6,27,2,0
Juan Miranda\Juan-Miranda,es ESP,DF,Betis,es La Liga,20,2000,18.4,31,15,15,15,1,12,32,37.5,20,249,72,28.9,115,93,41,46,3,0,43,27,58,68,0
Antonio Mirante\Antonio-Mirante,it ITA,GK,Roma,it Serie A,37,1983,12.8,0,0,0,0,0,0,2,0.0,2,1,1,100.0,1,0,0,1,0,0,1,0,0,1,0
Tyrick Mitchell\Tyrick-Mitchell,eng ENG,DF,Crystal Palace,eng Premier League,20,1999,19.0,69,29,52,8,9,19,35,54.3,16,404,98,24.3,275,88,41,51,8,0,43,30,99,67,1
